Gene stable ID,Gene stable ID version,Gene type
ENSG00000276066,ENSG00000276066.4,protein_coding
ENSG00000278365,ENSG00000278365.1,protein_coding
ENSG00000282035,ENSG00000282035.1,protein_coding
ENSG00000275086,ENSG00000275086.1,protein_coding
ENSG00000278633,ENSG00000278633.1,protein_coding
ENSG00000274359,ENSG00000274359.1,protein_coding
ENSG00000275123,ENSG00000275123.1,protein_coding
ENSG00000276826,ENSG00000276826.1,protein_coding
ENSG00000274144,ENSG00000274144.4,protein_coding
ENSG00000277154,ENSG00000277154.4,protein_coding
ENSG00000278384,ENSG00000278384.1,protein_coding
ENSG00000273496,ENSG00000273496.1,protein_coding
ENSG00000276296,ENSG00000276296.1,protein_coding
ENSG00000276345,ENSG00000276345.1,protein_coding
ENSG00000276804,ENSG00000276804.4,protein_coding
ENSG00000277263,ENSG00000277263.1,protein_coding
ENSG00000281185,ENSG00000281185.1,protein_coding
ENSG00000281022,ENSG00000281022.2,protein_coding
ENSG00000274894,ENSG00000274894.4,protein_coding
ENSG00000273916,ENSG00000273916.4,protein_coding
ENSG00000278081,ENSG00000278081.3,protein_coding
ENSG00000275117,ENSG00000275117.4,protein_coding
ENSG00000276628,ENSG00000276628.1,protein_coding
ENSG00000129932,ENSG00000129932.8,protein_coding
ENSG00000278149,ENSG00000278149.1,protein_coding
ENSG00000276565,ENSG00000276565.1,protein_coding
ENSG00000281024,ENSG00000281024.3,protein_coding
ENSG00000277630,ENSG00000277630.4,protein_coding
ENSG00000273511,ENSG00000273511.4,protein_coding
ENSG00000276017,ENSG00000276017.1,protein_coding
ENSG00000276065,ENSG00000276065.4,protein_coding
ENSG00000286265,ENSG00000286265.1,protein_coding
ENSG00000275917,ENSG00000275917.4,protein_coding
ENSG00000277457,ENSG00000277457.1,protein_coding
ENSG00000277401,ENSG00000277401.4,protein_coding
ENSG00000274733,ENSG00000274733.1,protein_coding
ENSG00000278119,ENSG00000278119.1,protein_coding
ENSG00000274504,ENSG00000274504.1,protein_coding
ENSG00000275049,ENSG00000275049.1,protein_coding
ENSG00000278257,ENSG00000278257.1,protein_coding
ENSG00000278161,ENSG00000278161.1,protein_coding
ENSG00000274053,ENSG00000274053.4,protein_coding
ENSG00000277923,ENSG00000277923.4,protein_coding
ENSG00000275483,ENSG00000275483.4,protein_coding
ENSG00000277475,ENSG00000277475.1,protein_coding
ENSG00000276766,ENSG00000276766.1,protein_coding
ENSG00000273506,ENSG00000273506.4,protein_coding
ENSG00000277403,ENSG00000277403.1,protein_coding
ENSG00000276604,ENSG00000276604.1,protein_coding
ENSG00000258002,ENSG00000258002.2,protein_coding
ENSG00000275806,ENSG00000275806.1,protein_coding
ENSG00000275384,ENSG00000275384.1,protein_coding
ENSG00000283965,ENSG00000283965.2,protein_coding
ENSG00000277667,ENSG00000277667.1,protein_coding
ENSG00000277025,ENSG00000277025.4,protein_coding
ENSG00000275746,ENSG00000275746.1,protein_coding
ENSG00000275822,ENSG00000275822.4,protein_coding
ENSG00000274953,ENSG00000274953.4,protein_coding
ENSG00000278363,ENSG00000278363.1,protein_coding
ENSG00000275798,ENSG00000275798.4,protein_coding
ENSG00000277615,ENSG00000277615.4,protein_coding
ENSG00000278704,ENSG00000278704.1,protein_coding
ENSG00000278782,ENSG00000278782.1,protein_coding
ENSG00000257770,ENSG00000257770.5,protein_coding
ENSG00000277733,ENSG00000277733.4,protein_coding
ENSG00000277071,ENSG00000277071.4,protein_coding
ENSG00000273833,ENSG00000273833.1,protein_coding
ENSG00000277836,ENSG00000277836.1,protein_coding
ENSG00000286094,ENSG00000286094.1,protein_coding
ENSG00000278817,ENSG00000278817.1,protein_coding
ENSG00000275399,ENSG00000275399.4,protein_coding
ENSG00000257215,ENSG00000257215.2,protein_coding
ENSG00000204805,ENSG00000204805.9,protein_coding
ENSG00000276256,ENSG00000276256.1,protein_coding
ENSG00000269823,ENSG00000269823.1,protein_coding
ENSG00000273896,ENSG00000273896.4,protein_coding
ENSG00000273875,ENSG00000273875.1,protein_coding
ENSG00000278789,ENSG00000278789.4,protein_coding
ENSG00000275082,ENSG00000275082.4,protein_coding
ENSG00000275330,ENSG00000275330.4,protein_coding
ENSG00000277079,ENSG00000277079.3,protein_coding
ENSG00000061938,ENSG00000061938.18,protein_coding
ENSG00000277786,ENSG00000277786.4,protein_coding
ENSG00000274792,ENSG00000274792.1,protein_coding
ENSG00000277178,ENSG00000277178.1,protein_coding
ENSG00000276260,ENSG00000276260.1,protein_coding
ENSG00000276774,ENSG00000276774.1,protein_coding
ENSG00000275935,ENSG00000275935.1,protein_coding
ENSG00000285192,ENSG00000285192.1,protein_coding
ENSG00000197978,ENSG00000197978.9,protein_coding
ENSG00000099194,ENSG00000099194.6,protein_coding
ENSG00000197142,ENSG00000197142.10,protein_coding
ENSG00000168348,ENSG00000168348.4,protein_coding
ENSG00000132855,ENSG00000132855.4,protein_coding
ENSG00000170820,ENSG00000170820.11,protein_coding
ENSG00000133641,ENSG00000133641.18,protein_coding
ENSG00000163359,ENSG00000163359.15,protein_coding
ENSG00000108828,ENSG00000108828.16,protein_coding
ENSG00000198034,ENSG00000198034.11,protein_coding
ENSG00000168509,ENSG00000168509.20,protein_coding
ENSG00000258989,ENSG00000258989.1,protein_coding
ENSG00000148248,ENSG00000148248.14,protein_coding
ENSG00000182107,ENSG00000182107.6,protein_coding
ENSG00000283071,ENSG00000283071.1,protein_coding
ENSG00000042781,ENSG00000042781.13,protein_coding
ENSG00000176715,ENSG00000176715.16,protein_coding
ENSG00000102309,ENSG00000102309.14,protein_coding
ENSG00000205436,ENSG00000205436.7,protein_coding
ENSG00000165805,ENSG00000165805.10,protein_coding
ENSG00000205085,ENSG00000205085.11,protein_coding
ENSG00000153086,ENSG00000153086.14,protein_coding
ENSG00000108830,ENSG00000108830.10,protein_coding
ENSG00000008517,ENSG00000008517.16,protein_coding
ENSG00000247077,ENSG00000247077.7,protein_coding
ENSG00000125931,ENSG00000125931.11,protein_coding
ENSG00000103485,ENSG00000103485.19,protein_coding
ENSG00000179051,ENSG00000179051.14,protein_coding
ENSG00000196305,ENSG00000196305.17,protein_coding
ENSG00000188747,ENSG00000188747.8,protein_coding
ENSG00000082258,ENSG00000082258.13,protein_coding
ENSG00000143324,ENSG00000143324.13,protein_coding
ENSG00000112494,ENSG00000112494.10,protein_coding
ENSG00000176894,ENSG00000176894.10,protein_coding
ENSG00000198707,ENSG00000198707.15,protein_coding
ENSG00000197471,ENSG00000197471.12,protein_coding
ENSG00000161057,ENSG00000161057.12,protein_coding
ENSG00000174173,ENSG00000174173.7,protein_coding
ENSG00000197747,ENSG00000197747.9,protein_coding
ENSG00000176915,ENSG00000176915.15,protein_coding
ENSG00000180269,ENSG00000180269.7,protein_coding
ENSG00000081154,ENSG00000081154.11,protein_coding
ENSG00000188833,ENSG00000188833.9,protein_coding
ENSG00000145700,ENSG00000145700.9,protein_coding
ENSG00000172602,ENSG00000172602.11,protein_coding
ENSG00000023041,ENSG00000023041.11,protein_coding
ENSG00000101493,ENSG00000101493.11,protein_coding
ENSG00000105819,ENSG00000105819.14,protein_coding
ENSG00000138109,ENSG00000138109.11,protein_coding
ENSG00000075290,ENSG00000075290.7,protein_coding
ENSG00000268651,ENSG00000268651.3,protein_coding
ENSG00000075213,ENSG00000075213.11,protein_coding
ENSG00000184203,ENSG00000184203.8,protein_coding
ENSG00000082701,ENSG00000082701.15,protein_coding
ENSG00000184033,ENSG00000184033.13,protein_coding
ENSG00000179941,ENSG00000179941.9,protein_coding
ENSG00000155897,ENSG00000155897.10,protein_coding
ENSG00000134287,ENSG00000134287.10,protein_coding
ENSG00000232421,ENSG00000232421.10,protein_coding
ENSG00000151532,ENSG00000151532.13,protein_coding
ENSG00000110074,ENSG00000110074.10,protein_coding
ENSG00000189058,ENSG00000189058.9,protein_coding
ENSG00000119471,ENSG00000119471.15,protein_coding
ENSG00000198887,ENSG00000198887.9,protein_coding
ENSG00000105821,ENSG00000105821.15,protein_coding
ENSG00000163110,ENSG00000163110.15,protein_coding
ENSG00000096433,ENSG00000096433.11,protein_coding
ENSG00000134285,ENSG00000134285.11,protein_coding
ENSG00000165185,ENSG00000165185.14,protein_coding
ENSG00000203805,ENSG00000203805.10,protein_coding
ENSG00000163376,ENSG00000163376.11,protein_coding
ENSG00000127318,ENSG00000127318.11,protein_coding
ENSG00000113328,ENSG00000113328.19,protein_coding
ENSG00000106976,ENSG00000106976.20,protein_coding
ENSG00000185215,ENSG00000185215.9,protein_coding
ENSG00000172340,ENSG00000172340.14,protein_coding
ENSG00000198870,ENSG00000198870.7,protein_coding
ENSG00000197798,ENSG00000197798.9,protein_coding
ENSG00000139537,ENSG00000139537.11,protein_coding
ENSG00000160323,ENSG00000160323.18,protein_coding
ENSG00000101040,ENSG00000101040.19,protein_coding
ENSG00000175697,ENSG00000175697.10,protein_coding
ENSG00000170615,ENSG00000170615.14,protein_coding
ENSG00000272822,ENSG00000272822.2,protein_coding
ENSG00000163428,ENSG00000163428.4,protein_coding
ENSG00000170584,ENSG00000170584.11,protein_coding
ENSG00000148737,ENSG00000148737.17,protein_coding
ENSG00000132294,ENSG00000132294.15,protein_coding
ENSG00000135823,ENSG00000135823.14,protein_coding
ENSG00000120008,ENSG00000120008.16,protein_coding
ENSG00000147475,ENSG00000147475.16,protein_coding
ENSG00000119403,ENSG00000119403.15,protein_coding
ENSG00000163430,ENSG00000163430.12,protein_coding
ENSG00000182934,ENSG00000182934.12,protein_coding
ENSG00000135835,ENSG00000135835.12,protein_coding
ENSG00000157796,ENSG00000157796.18,protein_coding
ENSG00000090615,ENSG00000090615.15,protein_coding
ENSG00000119138,ENSG00000119138.4,protein_coding
ENSG00000137288,ENSG00000137288.10,protein_coding
ENSG00000113161,ENSG00000113161.16,protein_coding
ENSG00000178055,ENSG00000178055.12,protein_coding
ENSG00000283189,ENSG00000283189.2,protein_coding
ENSG00000111554,ENSG00000111554.14,protein_coding
ENSG00000183662,ENSG00000183662.11,protein_coding
ENSG00000145029,ENSG00000145029.13,protein_coding
ENSG00000163191,ENSG00000163191.6,protein_coding
ENSG00000164109,ENSG00000164109.14,protein_coding
ENSG00000132297,ENSG00000132297.11,protein_coding
ENSG00000253117,ENSG00000253117.5,protein_coding
ENSG00000258417,ENSG00000258417.3,protein_coding
ENSG00000278444,ENSG00000278444.1,protein_coding
ENSG00000145020,ENSG00000145020.15,protein_coding
ENSG00000196458,ENSG00000196458.11,protein_coding
ENSG00000148300,ENSG00000148300.12,protein_coding
ENSG00000163377,ENSG00000163377.16,protein_coding
ENSG00000138246,ENSG00000138246.17,protein_coding
ENSG00000114353,ENSG00000114353.17,protein_coding
ENSG00000072609,ENSG00000072609.17,protein_coding
ENSG00000131876,ENSG00000131876.17,protein_coding
ENSG00000138964,ENSG00000138964.17,protein_coding
ENSG00000196136,ENSG00000196136.17,protein_coding
ENSG00000163378,ENSG00000163378.14,protein_coding
ENSG00000089693,ENSG00000089693.10,protein_coding
ENSG00000066422,ENSG00000066422.4,protein_coding
ENSG00000113163,ENSG00000113163.16,protein_coding
ENSG00000100665,ENSG00000100665.12,protein_coding
ENSG00000114391,ENSG00000114391.13,protein_coding
ENSG00000111752,ENSG00000111752.11,protein_coding
ENSG00000188488,ENSG00000188488.14,protein_coding
ENSG00000255339,ENSG00000255339.6,protein_coding
ENSG00000182504,ENSG00000182504.11,protein_coding
ENSG00000100320,ENSG00000100320.23,protein_coding
ENSG00000075826,ENSG00000075826.17,protein_coding
ENSG00000184156,ENSG00000184156.17,protein_coding
ENSG00000153993,ENSG00000153993.13,protein_coding
ENSG00000138115,ENSG00000138115.14,protein_coding
ENSG00000273259,ENSG00000273259.3,protein_coding
ENSG00000257017,ENSG00000257017.8,protein_coding
ENSG00000159335,ENSG00000159335.16,protein_coding
ENSG00000003056,ENSG00000003056.8,protein_coding
ENSG00000081307,ENSG00000081307.12,protein_coding
